Placestoppedstreet,Placestoppedtown,EstimatedAge,Monthyear,GRIDREFERENCE,GRIDREF1,GRIDREF2
Gilbert Road,Newton Abbot,34,Apr-19,,,
,,48,May-19,246189; 054465,246189,54465
Maristow Avenue,Plymouth,26,May-19,,,
Embankment Road,Plymouth,15,May-19,,,
,,35,Jun-19,245392; 054832,245392,54832
Parade Road,Plymouth,49,Jun-19,,,
,,35,Jun-19,248654; 056493,248654,56493
,,29,Jun-19,245203; 054793,245203,54793
Hotham Place,Plymouth,32,Jun-19,,,
,,53,Jul-19,246978; 059841,246978,59841
,,46,Jul-19,248517; 058938,248517,58938
Budshead Road,Plymouth,29,Jul-19,,,
,,16,Aug-19,246935; 055276,246935,55276
,,45,Mar-19,247914; 057365,247914,57365
,,34,Mar-19,248517; 058893,248517,58893
,,39,Mar-19,247606; 054742,247606,54742
Marlborough Street,Plymouth,27,Mar-19,,,
Derriford Road,Plymouth,25,Mar-19,,,
,,29,Jul-19,000157; 000341,157,341
,,22,Jul-19,247723; 060860,247723,60860
,,35,Aug-19,248904; 057575,248904,57575
Stoke Village,Plymouth,46,Aug-19,,,
Cumberland street,Plymouth,46,Sep-19,,,
Derriford Road,Plymouth,51,Sep-19,,,
,,42,Mar-19,247524; 054662,247524,54662
,,52,Apr-19,247681; 054938,247681,54938
,,28,Sep-19,247084; 054328,247084,54328
,,21,Mar-19,248180; 054691,248180,54691
,,22,Mar-19,247116; 054239,247116,54239
,,26,Apr-19,249408; 054473,249408,54473
,,39,Aug-19,249277; 054488,249277,54488
Neswick Street,Plymouth,40,Apr-19,,,
,,23,May-19,248205; 054672,248205,54672
,,25,Mar-19,245870; 056949,245870,56949
,,16,Jul-19,245288; 059937,245288,59937
George Street,Devenport,41,Aug-19,,,
Main Street,Plymouth,44,Sep-19,,,
EXETER STREET,PLYMOUTH,40,Sep-19,,,
,,36,Jun-19,000000; 000000,0,0
,,17,Apr-19,247876; 059527,247876,59527
,,33,Apr-19,245646; 054480,245646,54480
,,36,May-19,245278; 054166,245278,54166
Boons Place,Plymouth,23,Apr-19,,,
,,16,Apr-19,248177; 054660,248177,54660
White Friars Lane,Plymouth,46,May-19,,,
,,23,Jun-19,247131; 055087,247131,55087
,,23,Jul-19,248189; 054655,248189,54655
,,33,Apr-19,248202; 054644,248202,54644
North Road West,PLYMOUTH,21,Apr-19,,,
,,45,May-19,248214; 054730,248214,54730
,,47,May-19,248224; 054135,248224,54135
,,22,Jun-19,248139; 054723,248139,54723
,,18,Jul-19,252273; 053020,252273,53020
Mount Gould Road,PLYMOUTH,13,Jul-19,,,
UNION ST  PLYMOUTH PL1 3HP,PLYMOUTH,26,Sep-19,,,
,,28,Sep-19,249924; 059698,249924,59698
,,26,May-19,246332; 059320,246332,59320
,,50,Jun-19,248539; 058896,248539,58896
Lofoten Close,Plymouth,39,Jun-19,,,
,,32,Apr-19,247023; 054320,247023,54320
,,17,Apr-19,250674; 053877,250674,53877
Gifford Place,Plymouth,19,Jul-19,,,
,,48,Jul-19,248139; 054696,248139,54696
,,34,Apr-19,248337; 057692,248337,57692
,,30,Sep-19,246385; 056265,246385,56265
Castle Street,Truro,41,May-19,,,
,,42,Jun-19,248451; 058892,248451,58892
,,15,Jul-19,248549; 058874,248549,58874
Herbert Street,Plymouth,40,Sep-19,,,
,,14,May-19,248531; 058901,248531,58901
,,24,Aug-19,252209; 056919,252209,56919
,,44,Aug-19,054535; 247375,54535,247375
Budshead Road,Plymouth,26,Jul-19,,,
,,31,Aug-19,248518; 058867,248518,58867
,,17,May-19,248178; 054688,248178,54688
WESTON MILL FARM,Plymouth,17,May-19,,,
WESTON MILL FARM,Plymouth,21,May-19,,,
,,16,May-19,248181; 054720,248181,54720
WESTON MILL FARM,Plymouth,19,May-19,,,
WESTON MILL FARM,Plymouth,16,May-19,,,
WESTON MILL FARM,Plymouth,19,May-19,,,
WESTON MILL FARM,Plymouth,17,May-19,,,
WESTON MILL FARM,Plymouth,17,May-19,,,
UNION STREET,Plymouth,25,Aug-19,,,
FORE STREET,Plymouth,31,Sep-19,,,
King Street,Plymouth,26,May-19,,,
King Street,Plymouth,40,Sep-19,,,
King Street,Plmyouth,44,Sep-19,,,
,,32,Sep-19,247568; 054583,247568,54583
,,19,Mar-19,248228; 054676,248228,54676
,,16,Mar-19,248171; 054709,248171,54709
,,55,Sep-19,248532; 058897,248532,58897
,,23,May-19,247959; 054284,247959,54284
,,17,Mar-19,247333; 057155,247333,57155
,,16,Apr-19,246047; 057029,246047,57029
Cecil Street,Plymouth,34,Apr-19,,,
,,50,Apr-19,247292; 054637,247292,54637
,,42,May-19,000000; 000000,0,0
,,24,Jul-19,246793; 054792,246793,54792
,,29,Aug-19,246903; 054525,246903,54525
Billacombe Road,Plymouth,17,Mar-19,,,
Billacombe Road,Plymouth,17,Mar-19,,,
Billacombe Road,Plymouth,16,Mar-19,,,
BILLACOMBE  ROAD,PLYMOUTH,16,Mar-19,,,
,,48,Apr-19,248187; 054721,248187,54721
,,58,May-19,247453; 054655,247453,54655
,,21,May-19,247499; 054675,247499,54675
Armada Way,Plymouth,45,May-19,,,
Armada Way,Plymouth,19,May-19,,,
Armada Way,Plymouth,39,May-19,,,
,,66,May-19,248214; 054781,248214,54781
,,26,Apr-19,246424; 054307,246424,54307
North HILL,PLYMOUTH,25,May-19,,,
,,25,May-19,248169; 054682,248169,54682
,,50,May-19,248210; 054677,248210,54677
2-4 Drakes Circus,PLYMOUTH,40,May-19,,,
NEW George STREET,PLYMOUTH,37,May-19,,,
